Date,Description,Amount
2025-07-02,Amazon Marketplace,-59.99
2025-07-03,Starbucks,-6.45
2025-07-03,Payroll Deposit,2500.00
2025-07-05,Walmart Supercenter,-120.18
2025-07-07,Uber Trip,-23.50
2025-07-08,Comcast Bill,-89.99
2025-07-10,Chevron Fuel,-44.12
2025-07-12,Netflix,-15.99
2025-07-15,Kroger Grocery,-82.33
2025-07-20,Target,-67.80
2025-07-25,Doctor Visit,-150.00
2025-08-01,Payroll Deposit,2500.00
2025-08-02,Whole Foods,-98.22
2025-08-04,Uber Trip,-19.40
2025-08-05,Water Bill,-40.00
2025-08-05,Shell Fuel,-38.00
2025-08-06,Spotify,-10.99
2025-08-08,Best Buy,-199.99
2025-08-09,CVS Pharmacy,-32.45
